t,nu_w4a8,nu_w4a7,nu_w4a6,nu_w4a5,factor_w4a8,factor_w4a7,factor_w4a6,factor_w4a5,v_w4a8,v_w4a7,v_w4a6,v_w4a5
800,6.607816115163358,13.59200436238056,13.613220557298838,10.926937500615718,1.4340450985920248,1.172532716299744,1.172217516246431,1.2240409994874561,0.0003609703386530116,0.0007133366210552105,0.001976899203264223,0.005545365739371855
783,6.472029238478971,9.10504210430109,9.47712018271007,8.003806967403186,1.4472242674066775,1.281490238993698,1.267482660586994,1.3331219692536278,0.00036154663046117504,0.0007288396097274163,0.00212947637365922,0.005775799781703099
768,7.303973661349834,14.29054050258958,10.519145632194284,8.99295091335641,1.3770757789719135,1.1627267734546423,1.2347653258141167,1.2860022935639426,0.0003563722738982525,0.0007781930751442964,0.0020584199092487103,0.005867853292486187
752,6.111122707412967,9.012467472824596,8.059802514228977,6.751253857412241,1.4864851142471864,1.2852063140043923,1.3300437589020129,1.420941515654837,0.00036844543750934084,0.0007680750454514847,0.002064032700092192,0.005791671144217267
736,6.47825739019504,10.087712892687911,10.141997317342984,7.508177875318423,1.4466022887337646,1.2472886991090146,1.2456399728528367,1.3630964804099361,0.00037269715421495213,0.0007744641325244105,0.00208200662289868,0.006390007749898484
721,6.8185420194396755,9.362295813219287,9.579617519150027,6.343496983107703,1.4150633100077377,1.2716543929692314,1.2638655571929542,1.4604584756886447,0.000371428800579598,0.0007198146609775538,0.0021806051977818143,0.00612340652643576
705,5.772059123629223,8.762629318782748,8.068790902661682,6.024793863986183,1.53021438276814,1.2957429582078577,1.3295549364079804,1.49691985915005,0.000368899023365316,0.0007317127931412936,0.0022053432820612734,0.006279097063843379
690,6.053758100637862,8.335137968887485,8.387744726264124,6.363850568500027,1.4933693502050107,1.315699517488365,1.3130995501083058,1.458310835489368,0.0003742217244811259,0.0007499753362559898,0.002181907743549241,0.006221452697281685
675,7.472863909493095,9.8459396589273,9.349478059457638,6.8082858742208,1.3654393811128482,1.254908919382824,1.2721281679896044,1.4159486462156552,0.000340729646403517,0.0007054849458364535,0.0022080494594972234,0.006161156899464291
661,7.084578248639993,8.477624146560359,8.245381096123339,5.968167639544825,1.3933462919043391,1.308755178557559,1.3202366627781048,1.5040109646752255,0.0003643016229103757,0.0007378601800345509,0.002225406018309513,0.006718182979259611
646,7.365346566584346,7.837311800874598,7.332385358271699,6.345664960313764,1.3727625000882706,1.342623465770724,1.3750666663461524,1.4602287609065006,0.00035189896766502267,0.000746251988692675,0.002321850643462687,0.006710096401841631
632,6.956957099108111,9.62706175751296,9.312141253779412,6.272582637560211,1.4034733325329471,1.2622241780106107,1.273517692094127,1.4681009519670911,0.0003486865532917235,0.0007409907749981065,0.0022857314671491514,0.006339147227861883
617,7.692507519859044,8.034654625580423,7.9342011666757815,6.759532091451327,1.351339017651315,1.331419132343077,1.3370293564079425,1.4202093738567774,0.0003492156445905935,0.0007676027214896192,0.0021697310221996118,0.006498231256307936
603,7.320973337494451,11.63914921606576,9.505730903053287,6.721526694625366,1.3758710809368129,1.2074871915735634,1.2664630568072206,1.4235918018374545,0.00034445939774838385,0.0007330626696355856,0.002172397640862594,0.0063987816275886174
589,8.28120701226483,8.65532047860307,7.994533940509479,6.097131041475273,1.3184101393402181,1.3005114489121932,1.3336372802036414,1.4881464565702176,0.00035981671651810445,0.0007606291610215949,0.0021383163381940395,0.006476333517545618
575,8.199825638823217,9.895267603552584,9.943571891379188,6.30771513228729,1.3225897172778585,1.2533163029331738,1.251775904762757,1.4642832542499276,0.0003466602326116663,0.0007509059427322902,0.0020165459592360693,0.006478764072413813
562,10.842839412986402,10.005588520376412,9.487899668069861,6.575152414950118,1.226171697414616,1.2498254806513542,1.2670975959424862,1.437143906608367,0.000346377508036245,0.0007489148264358879,0.0020661272652307827,0.00643221110902818
548,9.621767777345244,10.341059113879549,11.100208714448714,6.653946399120718,1.2624063154934675,1.239777703609844,1.2197751790928193,1.4297428093236881,0.00034587613254417296,0.0007429094424943516,0.002140092564102132,0.0064116183267776995
535,9.17239067984967,9.623607668119806,7.813364369510047,5.324815977942214,1.2788470524366249,1.2623429860331803,1.3440348605171915,1.601537051454449,0.0003648151590694792,0.0007574710208381991,0.002171043984207959,0.007086309270182585
522,8.966673112618667,10.686955366168817,11.304223690872275,7.435081041185484,1.2870810740893555,1.2302302608562905,1.2149561388944314,1.3679797936488112,0.00036454364960891917,0.0007753846960974111,0.0023657917227223975,0.006236943548083438
509,8.326938118146781,8.677196465540575,8.991377075791455,6.193705600314634,1.3161086709957925,1.2995269062879196,1.2860666758949761,1.47690519807827,0.0003909763327601821,0.0007647774837103386,0.002137340311844619,0.0061559493431246675
496,7.913804166088978,7.9829292219801475,8.343620941513318,6.008608991006076,1.3381917871863984,1.334284415843059,1.3152773500244617,1.4989261872353488,0.00042670846986608824,0.0008375144453571493,0.0022324512503921774,0.006205694651031881
483,9.830689448053175,11.512896382061157,10.388988369241112,6.471939745729263,1.255405352653492,1.2102409108304257,1.2384077688476907,1.4472332172878706,0.00037635267408331666,0.0008112474059579261,0.002372268105754959,0.006238284080392981
471,11.625659978419186,11.916094491199646,9.622014512894609,6.785536532948193,1.207777960626494,1.2016923095856906,1.2623978210244133,1.4179259705218201,0.00038231863301426994,0.0007897999550251107,0.002341681240420637,0.006256342058006527
459,8.805663451384882,9.017847107321638,11.0032411193496,6.735501510054624,1.2938728919357627,1.2849876848860704,1.2221422233934884,1.4223417510803265,0.0004076054399080376,0.0008282816919055958,0.002566295328543594,0.00662298518969294
446,13.931840499461421,16.91751260588839,11.819909009884684,6.583010386969189,1.1676187340997624,1.1340706090109514,1.2036678749249925,1.436394385159277,0.000405893276842919,0.0008151297762870272,0.0021553180901047932,0.006637725368134136
434,14.86707978673373,22.593179603796706,21.034770484794354,6.832980761659323,1.1554354238218099,1.0971195336746962,1.1050708755116154,1.4138232901455485,0.000402657383374638,0.0008035402242766205,0.002419835227104756,0.006416148053882372
423,11.335708740080122,16.932949951156964,21.979376513439103,8.042362008115337,1.2142311907625811,1.1339320098534882,1.100103223874614,1.3309963880538527,0.00041074169550165687,0.0008370326854907315,0.002437291170491051,0.006479639081884637
411,13.120045413929528,13.35397656001005,12.933600890267998,6.5438142026682815,1.179855380580973,1.1761497383255326,1.182922352852682,1.4401588425040646,0.00043299303413779004,0.000863136869948833,0.0027712233055432888,0.006906472036914788
399,17.283503071226132,16.536667484745333,14.513326608612061,7.150732832394285,1.1308600515653606,1.1375831153941427,1.159829601076946,1.3882942612401648,0.00044316032030945854,0.0008755472338964257,0.0026287378489881696,0.007357776820322439
388,12.392439061881966,12.54473969316588,14.341182569205516,9.215610410152475,1.1924476042718137,1.1896680295765114,1.162059023824064,1.2771768272280843,0.0004554794194549071,0.0009178533512451919,0.002834260572373248,0.006779492570302128
377,10.197914040201994,11.220772989369381,11.232886864376052,5.746743549488631,1.2439645000169728,1.2169015550329454,1.2166169725004161,1.5337968754955131,0.0005058575161136255,0.0009871739869203716,0.002618441238511907,0.007737029254075812
366,12.603010185620073,12.171712115226947,13.548025003175017,7.739041432746708,1.188625679404932,1.1966237323022562,1.1731897878165418,1.3484902528474687,0.0005197685088767435,0.0009948709778316504,0.002753023134339477,0.0075701223028289116
355,17.914258991438786,16.81641667317855,15.413053790471956,7.368230490276187,1.1256734605787122,1.1349854046437897,1.1491084753138552,1.372562244416056,0.00048241615064888144,0.0010081338007064855,0.0026996052077593573,0.007592650132790746
344,11.685726396798021,13.185578691113973,22.236424073698974,10.256100548511515,1.206489417320437,1.178801656599925,1.098831690456585,1.2422451117507984,0.0005250176579475297,0.0010112641229549333,0.002871354939046387,0.007370177660155944
334,10.012462265838849,13.865231733392005,16.61074826087477,7.7674670693301096,1.24961115992109,1.1685597083090635,1.1368855286731396,1.3467726778424935,0.0005405869241684046,0.001054997176655415,0.0033486579987088614,0.008038519343698716
323,14.160824708836211,18.454789733089285,100.51018815194587,9.90301098509382,1.1644625301232057,1.1215451569082135,1.0203024685823878,1.253068103254858,0.0005444114383452377,0.00106350475770009,0.003096354648312546,0.007808945023351604
313,11.928989782559364,17.54818972972369,15.016890126734596,11.291046619073814,1.201430361376046,1.12863233821855,1.1536465300488572,1.2152610014779337,0.0005725222591919004,0.0012018419113554253,0.003612051008526696,0.007919462530343785
303,10.50082198146309,14.437593762864115,169.79210556313177,9.930315175699773,1.235271366035097,1.160802807852718,1.0119195119060445,1.252196786090979,0.0005888375186527307,0.0011529538685632436,0.0037068237621241482,0.00826188616847512
293,11.443545710261422,20.89531080970489,16.980701560554564,10.160849236037969,1.2117848593486222,1.1058463668654115,1.1335050960007218,1.2450725337711281,0.0006023726672245171,0.001180388015499773,0.003163417225432497,0.008652100283676304
284,12.009606763395432,14.31678181515407,17.542934806112818,9.754983410716916,1.199808049134746,1.1623800786613985,1.1286758276315634,1.2578986819283355,0.0006046023784036348,0.001244860508761718,0.0028098141614070695,0.009840308047073809
274,13.13963223864948,18.202270456754533,15.512876369612556,8.097815189306377,1.1795391407142604,1.1234394898750888,1.148006978329022,1.3279863259069187,0.0006810819507481004,0.0012783677120658727,0.003314564007789919,0.010357510796270267
265,10.836430737232781,23.743998972439197,26.942528859682085,9.73995765721834,1.226335729829567,1.0919794009618482,1.0801843313984438,1.2583993464272747,0.0006520756951651077,0.0013279143573129825,0.0033585282068468248,0.010160127421276054
255,13.421144055482802,18.83940711310045,134693051.49792552,9.989351224748816,1.1751138056121344,1.118769027114029,1.0000000148485761,1.2503332177717446,0.0006596713877940815,0.0014102235317663405,0.0038745942238504988,0.010184558800605956
246,12.239578390039838,20.103218107520785,523446539.2933459,20.439885077630862,1.195320541902919,1.1104775950950467,1.0000000038208297,1.1084605457995056,0.0007450924805642708,0.0014408473839760978,0.003299385107292185,0.009728067304978511
238,10.680802626539908,23.615627340291375,88.21238524581571,12.083812530371173,1.2303934424088137,1.092525651396294,1.0231985229766865,1.1983376817028533,0.0007277486063688276,0.0015212227714612486,0.0039176307362365674,0.012354866462141852
229,10.214684189054914,34.83217411135725,125540458.51911387,14.795520826862411,1.243466450318901,1.0609158562943952,1.0000000159311193,1.1563046965467227,0.0007628855140016536,0.0017624091574250905,0.003915793838956388,0.010997856757446455
220,11.058297998910184,23.684839624806724,37.51270015667836,12.043277121570249,1.2207920296109294,1.092230333938558,1.0563178803970468,1.199138187246127,0.0007480699691736778,0.0017265258731804234,0.004125361164256184,0.01164323368248291
212,11.426063856714265,17.512538672437426,37.66177024596196,14.64441073453909,1.2121776417391215,1.1289279622266848,1.0560824655143546,1.158172653671939,0.0008201729318903282,0.0016425328112570508,0.003979393143021939,0.012150217792457304
204,10.406416145934044,20.979659242069562,540.7279048025637,23.11963110638785,1.2379135133545995,1.1053759698470706,1.0037124492386058,1.0946986237555578,0.0008132561859184587,0.0017710577484974339,0.004325674085919982,0.012718061897516663
